District,State,pH,TDS (mg/L),Turbidity (NTU),Nitrate (mg/L),Fluoride (mg/L),Chloride (mg/L),Hardness (mg/L),Electrical Conductivity (µS/cm),Dissolved Oxygen (mg/L),Iron (mg/L),Arsenic (mg/L),Diarrhea Cases,Typhoid Cases,Cholera Cases,Hepatitis Cases
Jaipur,Rajasthan,7.686902154501571,1940.8571676918993,3.9279757672456204,43.946339367881464,1.5588428730176038,320.19753415129117,329.04180608409973,2759.1170623948833,7.401672517614813,0.3832290311184182,0.0010823379771832098,52.0,17.0,2.0,8.0
Jodhpur,Rajasthan,7.244705077449784,1891.1844824945385,2.0351199264000677,46.50089137415928,1.916935475005645,,573.3551396716398,1532.7380199459487,7.954376941646838,0.4100531293444458,0.004757995766256757,49.0,12.0,5.0,5.0
Udaipur,Rajasthan,8.148488031839483,,4.548850970305306,,1.4750667656580938,570.9601542503477,680.3925243084487,2210.298955625093,7.656450769931841,0.2975182385457563,0.0030909313175279765,53.0,22.0,6.0,5.0
Kota,Rajasthan,7.48874015361195,943.8384408004193,2.350460685614512,,1.9433667436477369,483.45577978451473,651.5094794475889,1854.5332842827293,7.957673124081441,0.4849789179768445,0.0020071291833014568,51.0,14.0,4.0,6.0
Ajmer,Rajasthan,7.494444507757319,1574.2073484913399,1.6974657160199658,47.63750952409864,2.0894912964912358,671.5284949315305,368.7604720729966,1813.9194318904654,6.670210281860884,0.4698774473114251,0.004509357413523924,53.0,18.0,3.0,2.0
Bikaner,Rajasthan,7.913353926176562,1630.2742372312318,3.607845038010402,28.970772378422392,2.8380122090993325,356.76208937356006,462.69984907963385,2543.6845292124435,7.474449348570822,0.4396893641976712,0.0036304515692013734,50.0,15.0,8.0,8.0
Alwar,Rajasthan,8.340584993506342,1688.9223413050454,3.788062963981072,48.09936335948437,2.0268296478054366,382.116329919022,704.6805777392568,2658.2041104225254,7.800608477870155,0.46529622102258855,,,,,
Barmer,Rajasthan,7.232955966440095,3601.8220057974254,4.343920482048823,47.83896824374792,2.1405917721528205,327.9824440318806,378.218521335543,1650.4372166962717,7.3238399970591805,,0.003640789506870925,51.0,19.0,5.0,8.0
Nagaur,Rajasthan,8.422299313852445,1490.5690134510548,,45.73152873769413,2.253981648130488,495.5275551921707,770.7324043882626,1894.9847480413937,,0.46214025678242554,0.0017831645391571858,54.0,21.0,7.0,12.0
Bhilwara,Rajasthan,7.318672679821974,1183.1763651084977,4.80024786820322,58.024285877502244,2.518907142683558,534.3267454764097,524.2227609891598,1727.7793890565163,6.992996818054874,0.3690073824308154,0.00400949811775072,46.0,24.0,8.0,5.0
Sikar,Rajasthan,7.7514886120210695,1887.6252621136832,1.4447899292246054,39.705004171634364,1.226113382965064,460.8972888973568,328.1516378409187,,6.676289370165657,,0.003984179517061693,37.0,16.0,3.0,8.0
Churu,Rajasthan,7.30105502805448,1969.2737691993998,4.9448429779184115,47.92646856078981,2.4330216425914766,389.28742732884746,,,6.743925409017337,0.464370873797537,0.004290148971692676,64.0,19.0,9.0,10.0
Kolkata,West Bengal,7.216130800889594,540.872600127416,,24.023449288384658,0.7259921615950071,110.52242993185956,120.1022842675961,365.83047197233645,6.783733334645152,3.171083429737126,0.09040797680992235,137.0,51.0,9.0,17.0
Howrah,West Bengal,3.2,251.5518887642597,,13.797567337807358,0.2832963035896461,146.13121172048218,127.28201265987173,540.1170058281248,7.02454029684022,2.6588657409200533,0.08675577385210272,79.0,28.0,3.0,10.0
Darjeeling,West Bengal,7.376412849113172,224.93654500449657,5.1819127352498136,13.327923214686956,0.6122993032419988,176.6661008950443,212.4424348012881,366.75968400347676,6.9742654678270295,2.2395133477759392,0.05971638325040825,83.0,28.0,8.0,10.0
Nadia,West Bengal,7.480654014268917,,10.446919093929147,11.391337233924384,0.7053884211789091,57.745321681176925,102.73637221425416,733.3288043015318,7.1953344091062705,4.138135920409073,0.07759984178056599,121.0,43.0,6.0,27.0
Murshidabad,West Bengal,7.095384385207916,381.70718888763986,8.388824943505226,273.7817378101698,0.32103827739814156,152.685732181975,113.18021668639852,426.3536253931112,5.5046085290043605,1.4084362244958846,0.06731662010518921,116.0,44.0,8.0,25.0
Purulia,West Bengal,7.346385650733706,380.7794405196157,9.710259638842608,32.49168613230433,0.5744609265091026,130.96715928719496,165.81170130825086,667.6174489983691,6.104116168091273,2.3701873857052567,0.0731857479688174,131.0,35.0,15.0,25.0
Bankura,West Bengal,7.103057252445533,382.8000877126713,8.8316629765801,22.557208686563254,0.5239163822677021,122.95362229934116,161.34327656282397,774.5350893290348,5.5207452229406755,3.0945494542182947,0.07655083473229737,117.0,50.0,14.0,11.0
Birbhum,West Bengal,3.2,564.2744793022853,4.98248625476587,15.89765086487703,0.29931230622037386,77.9481319241181,225.62361835037382,532.6805269602164,6.02945524887759,1.795884673069894,0.08078943937942587,71.0,29.0,6.0,23.0
Malda,West Bengal,6.868279734462915,598.7497007383789,8.01756008264994,24.884625433001094,0.2402458864330565,162.49407055987666,131.48583896433786,843.9298591923925,5.848737388819412,1.667407022322833,0.023654966784809488,87.0,31.0,6.0,20.0
Hooghly,West Bengal,,239.77655710373807,5.945377527995633,,0.7134178808637716,174.53297968504873,159.57752944276822,717.4468251138554,5.848473302206895,2.026017055913546,0.10963358185211197,111.0,38.0,9.0,22.0
Medinipur,West Bengal,3.2,557.8208907576366,10.398842047578523,20.630337611730837,,90.3016039077419,181.24513219913004,698.413020904381,5.938409065236444,1.4877462592548845,0.10349302367992991,117.0,48.0,14.0,22.0
Jalpaiguri,West Bengal,7.416729101651416,368.81442382027495,6.830971012489996,33.96567943283051,0.31062255240737796,63.55054408664118,215.6478888303218,387.5373379447504,6.92303428419515,2.5301768872503523,0.1115513677291914,,,,
Lucknow,Uttar Pradesh,10.8,401.40363437546694,14.676993882070864,40.28896002071117,0.4824749968109959,162.9193113618822,401.8575629541903,1465.8889071877059,6.580027117583712,0.9215042092010765,0.013989915350512095,185.0,57.0,14.0,27.0
Kanpur,Uttar Pradesh,7.382920567891906,897.3492844904064,5.370076347154926,72.79484331651291,0.5840070698301625,124.11337715545577,219.2383004073023,1226.6598982903258,,0.9522900943758852,,118.0,41.0,11.0,24.0
Varanasi,Uttar Pradesh,7.425546589168931,572.343394992449,7.9630812045599,52.848426307745044,0.43367455170908953,103.57478694668276,446.9305974340079,984.9958203622762,5.768653294319363,0.9116825544237628,0.007019839420896476,125.0,36.0,9.0,19.0
Agra,Uttar Pradesh,8.06054306195611,956.6513699171278,14.949078226464353,49.5642387070718,0.716993615122127,251.64769514081826,374.0051545134481,738.5063157058696,6.631666249981236,0.5019965146529946,0.007147805140920331,,,,
Meerut,Uttar Pradesh,8.021448296858521,697.0879162083846,9.80586577326648,279.0980100677715,1.0597447727401192,169.56184158043862,369.5040381397659,1109.1587675962119,5.534056540338843,1.0907669877196422,0.020340798496959345,158.0,48.0,21.0,30.0
Prayagraj,Uttar Pradesh,7.647982455659026,867.9072370906862,6.069806388269584,81.85653463761155,0.8330132629408882,292.59840077179894,285.46804150967154,1169.3597038205532,,0.3922587551916113,0.023556255206438375,148.0,48.0,16.0,22.0
Bareilly,Uttar Pradesh,7.953771458499915,816.2093354688932,7.207696127887604,44.530957508871346,0.9443994416597704,230.90224285622705,268.31488174955234,1455.7772060253694,5.302115783561801,,0.023703166163854775,156.0,51.0,15.0,15.0
Aligarh,Uttar Pradesh,10.8,877.9223745857058,9.815223515125501,46.4519503929317,,237.11305744579428,307.57647372486565,780.472254030303,5.983189093482874,0.35778804336762066,0.015385342244031172,144.0,36.0,10.0,14.0
Moradabad,Uttar Pradesh,7.099010241328505,894.7084281381003,8.578013509282714,57.71520862206344,1.1819731090518286,140.17181797245883,373.29848520567026,1339.2966552088799,5.082366990558543,0.9033469125189709,0.02388564941017252,150.0,50.0,10.0,28.0
Gorakhpur,Uttar Pradesh,7.575134714291544,769.4452131653456,8.290174378146622,65.86004259831658,0.9954232524759644,274.3665557946242,308.4138334890972,639.2954919366251,5.323345088293605,0.3187750253623843,0.01702504944245859,155.0,51.0,15.0,26.0
Jhansi,Uttar Pradesh,7.78601120659853,995.2799898044034,7.83854528608645,59.75330663164273,0.707077721494237,193.1625614040497,408.99951594530233,812.2128845632889,6.552000414070859,0.664779164777169,0.015842673824226196,128.0,47.0,10.0,29.0
Ghaziabad,Uttar Pradesh,7.538533088597683,801.6342408756168,6.457565682447517,64.71886093675558,0.8703074968883096,289.71667097028677,263.1319455188548,,5.758717179844847,0.8449843418803945,0.010204837219920038,,,,
Trivandrum,Kerala,6.2908175913632505,4110.368226055935,2.740336689086404,8.8133686984624,0.30869201865448526,40.55920928725492,82.57959910610393,155.20762330586166,7.199071980728916,0.17177118101969643,0.0018856576046609992,25.0,14.0,1.0,8.0
Kochi,Kerala,6.584167192914954,135.8248087404638,2.8906262449874327,14.147477082480417,0.3253755709393835,42.82518225396786,83.87997773211814,287.01593299591804,7.81853033274321,0.32220972637560075,0.00012786740838790126,22.0,12.0,1.0,6.0
Kozhikode,Kerala,6.359914686123741,246.0432905726384,3.469522046786981,12.837215607741776,0.14928906166886644,71.56494759683535,103.98248763392174,,7.442917433830465,0.49670362907391863,0.00045193404844007836,21.0,12.0,3.0,3.0
Thrissur,Kerala,6.568813937418377,89.93728439845417,1.4253231805813056,9.11810381000188,0.3388187667582767,60.55047470524256,75.41735734236217,244.82145608162412,8.086775277097928,0.10791054588279123,0.0007480710465010191,21.0,7.0,1.0,4.0
Kollam,Kerala,6.5714640410319305,208.32242938994412,,11.142167795078059,0.26907564535847583,69.30838663406522,40.09893438075275,204.23887033891143,8.471854561516455,0.3374432717531093,0.0008267999324636157,10.0,7.0,2.0,5.0
Alappuzha,Kerala,6.565155047495373,194.63164708953823,2.5974435776782787,15.821331009930976,0.15651121971020232,32.71894945413431,105.49880032594162,210.30783379699625,7.034340737464181,0.17689557483401555,0.0005248674255429914,16.0,10.0,0.0,4.0
Palakkad,Kerala,6.436141428316978,208.22310253845671,2.858493254222763,9.460325723552584,0.2721348710035685,30.239885512999905,45.970385146966535,339.1548914083618,7.3980811137822915,0.1888831939256241,0.0014140743055817066,21.0,10.0,2.0,1.0
Malappuram,Kerala,6.2392660229888826,189.83532098862636,2.498001504935855,8.990289170080711,0.15969511118007046,27.631985761246977,109.17283137123341,188.17383115336284,7.977565971866452,0.5053429639931332,0.0012667544912509986,19.0,8.0,0.0,4.0
Kannur,Kerala,6.348835708334493,158.53097923406247,3.974765226610822,19.561249365060053,0.47692615586927717,67.03056060606043,68.38730882055123,235.39666047357605,,0.51526722820242,0.00023055438178470875,35.0,6.0,1.0,4.0
Kottayam,Kerala,6.538678418115929,96.1519888286918,2.1279786698239342,13.25137910687234,0.25546111945193883,29.821028087918087,61.903304601128525,379.92890919760157,8.013973413379533,0.34802391933994326,0.0001241582909750977,24.0,7.0,2.0,3.0
Idukki,Kerala,6.5194555049587954,229.11353505693867,2.3014015367643155,269.9454581362666,0.32321693005958685,68.70513301194259,99.3369649210344,366.806218309006,7.416853145873302,0.19697693363388744,0.0017716513232896836,22.0,8.0,1.0,1.0
Wayanad,Kerala,6.1631873519329545,145.904511107567,,18.113937059153567,0.3040438849995301,63.404285936737175,48.330988633622994,183.1228515298343,8.054415161468015,0.12640198023426405,0.0010245355582631308,25.0,9.0,5.0,6.0
Mumbai,Maharashtra,,4206.864223946905,7.116368119254267,184.35451471362026,,158.49457831410496,285.79932016567534,776.3852994415176,7.687235929588556,0.6236114045984148,0.005418194521696945,53.0,20.0,3.0,9.0
Pune,Maharashtra,7.454103061907232,713.9341876610864,6.726278093166252,,0.6955849050360744,246.52364286489868,211.89231592355975,993.8667956633361,6.34414326263662,0.40295786319940907,0.003160891203612367,66.0,19.0,4.0,15.0
Nagpur,Maharashtra,7.36152880382572,,2.671615562129182,25.67920121384558,1.0824494543788228,214.97825178256105,289.3963046692314,704.8331036714138,7.569844260040457,0.5269086554507094,0.006308975125083778,41.0,14.0,3.0,5.0
Nashik,Maharashtra,7.2762567313282265,,5.121143139509327,28.42808820960651,0.7462561535433612,108.22583328075322,314.9640905006188,722.3255524755078,7.614935413736314,0.3013125240066117,0.004549357727058088,43.0,13.0,1.0,12.0
Thane,Maharashtra,7.837329594384315,5204.1737060040505,5.152609475274157,22.330198223593985,0.3903545667289388,94.8205095314113,338.1970384178482,,7.6296477737001664,0.6438027804360583,0.002338822925402107,36.0,23.0,3.0,8.0
Aurangabad,Maharashtra,7.4507834486838425,489.7514516873593,3.360382297541064,26.448358196016002,0.40307896960020384,150.1693919752244,356.5179524150381,809.3025473275134,6.032400160101387,0.4528664249475485,0.0011902251126359091,39.0,9.0,2.0,5.0
Solapur,Maharashtra,7.889535586543562,5236.126140326772,4.042435060097388,44.67085075050522,0.8009409372745105,170.32380849657005,364.3934803814234,,6.772528668113442,0.3606660052930005,0.00652412592612112,58.0,19.0,7.0,8.0
Amravati,Maharashtra,7.985456281569894,434.47947291323555,4.441831457805583,41.7444004687052,0.3023368260970896,86.76021404805682,312.89576895566825,1130.5351235346352,,0.4817850648084255,0.004153257111604728,50.0,10.0,6.0,11.0
Kolhapur,Maharashtra,7.958629814826536,660.6967255531441,7.177283017474474,15.063115295276502,0.8740576997852755,221.02988466709255,188.9229222598299,1103.698295466173,6.462049610958083,0.5991752611868332,0.006602484153163847,49.0,16.0,9.0,9.0
Sangli,Maharashtra,7.294446228510518,533.303892348608,6.900339215351267,17.021536643565675,0.6099140685349275,224.8130102685711,268.85753011742725,,6.976561863358053,,0.0051319988006721185,59.0,18.0,1.0,10.0
Satara,Maharashtra,7.305638072079294,788.726058995184,5.19147623914558,296.4890584412698,0.37944176220295434,115.5068920199758,383.6402126055739,760.6126682461701,6.711781682387246,0.38792375664210443,0.0020294329539661186,49.0,14.0,6.0,10.0
Jalgaon,Maharashtra,7.813269252766627,,6.384908172270853,19.439524420975044,0.9820462255212429,200.85040183599426,379.52741794366347,,7.067426100649076,0.5594723510241951,0.003474225183827477,52.0,21.0,10.0,4.0
Ludhiana,Punjab,7.540382388699483,880.7091720038524,3.024190260419817,185.29943234133975,1.5686863466296477,205.18637211319543,506.9104169062572,1891.375313102428,7.408034617409398,0.21527472854669,0.031161450153410233,70.0,29.0,7.0,9.0
Amritsar,Punjab,3.2,1227.9806484660864,2.0243549929593563,51.561177998538895,1.4558386775070598,320.4371610225403,289.52607494010397,1994.696768618153,,0.43912994209761175,0.009355895386539808,59.0,22.0,8.0,11.0
Jalandhar,Punjab,7.571409380446714,1047.0258805361518,3.137096371710067,53.698843594980055,,163.58300870572594,512.02583194417,1312.8628338394517,6.200175100905831,0.45556456961861486,0.006405557255828094,79.0,32.0,7.0,8.0
Patiala,Punjab,8.266047505128677,1284.9340112257048,5.803090830925353,90.66513259976246,0.8278574295033875,176.34123056271412,523.6383521707274,1737.3939879186908,6.262641816111286,0.3800252329504892,0.03370399446452859,116.0,39.0,8.0,19.0
Bathinda,Punjab,7.944832604022314,4660.23789863376,4.852827533130471,57.94899286811345,,221.85239911639493,378.7250957146535,975.5195377044547,6.3449658760176595,0.457930951356164,0.013027780301839145,85.0,33.0,6.0,11.0
Hoshiarpur,Punjab,8.073141873918672,1066.164474941321,3.3923823726731523,69.16305416891147,0.5014889882870149,224.95013189130898,476.26055957327566,2166.452776961264,7.3011790750790695,0.21179748232276457,0.03195681814024518,76.0,17.0,6.0,16.0
Pathankot,Punjab,7.974130295536064,833.9144813185495,3.380768833976842,104.63657980357937,0.8195549562385624,267.49706703948414,561.5493980886051,1820.0377553477856,6.2808641940141134,0.2736515221394852,0.0052352477231575045,70.0,32.0,14.0,17.0
Moga,Punjab,8.281177836762295,771.0968848053549,5.170380465153533,104.01342159567525,1.538071752102243,390.0339011013618,432.5108735525152,2170.5002803889547,,,0.0193070031940391,97.0,44.0,5.0,20.0
Firozpur,Punjab,7.697836625502157,1427.5779221904447,5.973020061691856,184.32225819497117,1.3371087158449313,242.93101660058582,387.360365180318,1880.5444653511295,7.3939543617890315,0.6754642972512742,0.022313677581149625,90.0,40.0,13.0,14.0
Gurdaspur,Punjab,8.155030201619935,786.3682282897697,2.2846331406937312,49.48549351983306,1.5348629725534189,276.73010949045863,393.2942251359564,,7.286573706283671,0.3660955165578023,,90.0,20.0,1.0,8.0
Sangrur,Punjab,8.148425379090526,4163.3153438886675,3.211723622561717,66.14418371149702,1.2838834664083643,354.194866626409,313.56488871481093,1382.2233106050949,7.372522255773895,0.6033467598473696,0.034545752082874276,83.0,19.0,14.0,16.0
Mohali,Punjab,7.796258752882362,942.4659388829051,2.652141347726364,96.10336739696876,1.3078883252831506,246.08875963103372,258.81769488573025,1990.6965260334139,6.214843378490296,0.5518498898145254,0.034107713291781715,81.0,26.0,10.0,13.0
Guwahati,Assam,7.0591632041446495,250.21498970063075,14.792388607083364,14.876965554755785,0.347847240216971,126.21358267325179,114.29099895112472,427.7281022076461,6.896710213155043,2.9960527071692042,0.002735613529907303,110.0,57.0,10.0,21.0
Dibrugarh,Assam,6.8578511406975835,229.2828789475918,8.463995264481598,16.21167485850113,0.4879736292473251,71.62078313869752,158.81072761694685,,6.7658195208950005,1.8464076017923483,0.0029825869801028706,70.0,19.0,8.0,14.0
Silchar,Assam,7.361822913575436,269.71059529273043,16.07761927997312,11.20519029773727,0.7707223486175201,,92.22717210475241,223.99357226905215,6.493732468212183,1.9168146737311524,0.011728996545791006,128.0,36.0,9.0,11.0
Jorhat,Assam,7.046058552245693,351.86150057942393,6.97379014243487,24.175342073005382,0.8869442836901174,128.5599350345229,178.7580566050121,667.7010439037255,6.670806345781917,2.4012690804043166,0.010018186902083035,,,,
Nagaon,Assam,6.941986156444849,428.1331886575282,7.264718617293663,20.995492377283576,0.5867697373631948,112.06910859767719,111.22839175822752,296.556286019852,6.056740182833962,1.817213755394151,0.004413407163716159,70.0,38.0,8.0,17.0
Tezpur,Assam,,374.50675609972194,11.270527214996608,18.37929483526222,0.4122557842838202,114.10099592223985,,553.0958034448753,6.16735705720635,2.02898085067599,0.004148698371858447,97.0,21.0,11.0,15.0
Tinsukia,Assam,6.9792536597743835,184.61839265367522,,9.992466396563968,0.5360446028960264,55.7126161295765,163.04883764292427,319.00101464135327,6.426974997100841,5.530536499284504,,111.0,35.0,13.0,13.0
Sivasagar,Assam,6.919678780526153,172.70991819293624,10.653913079003175,21.660140210864256,0.93124181998236,62.38200167473554,88.03683344303258,641.1282175037626,6.423047902366201,3.937924339204035,0.014584855556659865,97.0,37.0,4.0,17.0
Karimganj,Assam,7.025342228958228,384.58799314738775,15.020963908750085,21.65103522328323,0.6626056464832374,55.43569700128665,160.53889680556264,517.8274168249459,6.9876050995185395,2.264464527228309,0.00453467759870376,111.0,35.0,17.0,15.0
Dhubri,Assam,6.844518887992749,396.5492839756078,13.914129223689242,21.536104659203264,0.4903622275929141,116.1594814707164,111.68743816324626,670.75287013614,6.818198850453399,2.9603031007890395,0.005503654209799544,,,,
Barpeta,Assam,,5592.79906957663,9.91967099311093,20.71912650483039,0.8646655371187715,134.38255981079521,199.71539568825878,,5.864561322975519,3.350361830975637,0.0036910487077763104,95.0,34.0,17.0,7.0
Goalpara,Assam,7.109778452495316,261.9367855267151,17.300303839896365,10.845069548025277,0.6502516123508923,115.99723742059051,163.6562967070171,,6.240461141522976,2.202929559089799,0.010267224248747242,127.0,42.0,13.0,29.0
Visakhapatnam,Andhra Pradesh,7.590417126964711,536.3925463843952,2.158718826864943,34.816730045361915,1.1522176805750282,259.574799774232,,1682.914816518722,7.254472656211572,0.1633695494418793,0.004451987325435489,56.0,15.0,3.0,7.0
Vijayawada,Andhra Pradesh,7.558879309845262,709.5683615937438,3.162529961039156,24.538764237848238,1.4616335098301787,201.72354214899417,408.71837828080453,862.5648422194515,6.536811103464549,0.34270709208750294,0.001587687694335083,44.0,16.0,3.0,14.0
Guntur,Andhra Pradesh,8.122053463189982,752.9826453470305,6.298973374058228,34.23816803331032,1.590819590221011,224.41767957593078,433.48514842896316,926.0020278639943,6.514270745395228,0.3854334476989276,0.0017019665095254295,71.0,23.0,7.0,12.0
Nellore,Andhra Pradesh,8.161478950635704,674.7682669181611,3.316236732590056,,2.567204261425932,302.296807038101,395.6521018253898,1550.2657639388422,6.443277707879187,0.23749707837627265,0.0024048775493951237,55.0,23.0,1.0,7.0
Kurnool,Andhra Pradesh,10.8,1087.426276486209,2.803397923559226,20.874008174096737,1.8082697822742264,174.62006805301922,233.89202453487448,1524.598286847629,6.378548799931596,0.2824958500023315,0.0021241990006675565,42.0,13.0,3.0,10.0
Rajahmundry,Andhra Pradesh,10.8,880.1150016067348,3.734429881821928,35.24756766597785,2.430065472136311,183.96970576192086,259.8314671375083,1113.163201829777,7.559254744780642,0.126696914456904,0.004966784293489807,59.0,24.0,4.0,11.0
Kadapa,Andhra Pradesh,3.2,1081.6644197385478,2.5994554673635606,45.7224046588213,1.9566188455407496,186.22742881547828,357.98948366919086,1099.9420697770227,7.153731128381289,0.23015317685657327,0.001657622116315515,48.0,13.0,3.0,13.0
Tirupati,Andhra Pradesh,7.464077814536323,601.0164405051221,2.578506590901511,20.953750418278528,1.9424556733986151,170.1997707195578,497.04089441829683,1374.4367558722058,6.420616430969617,0.3066287622434096,0.004590974266038901,45.0,20.0,1.0,8.0
Anantapur,Andhra Pradesh,8.220912019060766,,3.1199127293254056,28.36998909020831,1.922140624396745,297.92158339806565,232.33130622877002,1493.3351537347066,7.237177435811355,0.1694440287738965,0.003725412052965395,40.0,18.0,3.0,6.0
Eluru,Andhra Pradesh,7.546308412286814,530.136681900968,5.904819318222176,33.93797278853041,1.7990268981758408,325.52675488353026,404.2553954811418,808.0591033421198,7.709079716738056,0.1711433397933134,0.0014304567390394354,53.0,21.0,8.0,7.0
Ongole,Andhra Pradesh,7.661833567454949,847.8268629500342,6.584710241004579,291.22996155973294,1.2349022754109316,250.04659254978074,343.83063742547654,1597.2110725787627,7.358772076179119,0.3071217165733216,0.0023621793419195875,64.0,34.0,5.0,5.0
Chittoor,Andhra Pradesh,8.02659823890528,592.3757237367732,4.565915418783894,26.8056675551091,1.1677530152128504,214.41403263392755,265.734261464936,1021.7819781923185,6.708087327791203,0.17781652022295888,0.0013503651896237857,43.0,19.0,3.0,9.0
Patna,Bihar,7.548105034534124,,12.11468459244506,41.3498417309608,0.9455821217920664,103.7269009769632,189.0589287226155,959.4701015693371,6.216789433992665,0.6394402648595005,0.01727105101638925,163.0,55.0,13.0,19.0
Gaya,Bihar,7.153584116996369,4660.166723511262,9.430090836641675,43.775404119737715,1.0520930618816506,191.51951633019175,338.2927081779038,,,0.6037121431091713,0.03370903442535438,152.0,45.0,11.0,28.0
Bhagalpur,Bihar,7.08345240115023,617.3638382404059,8.702371142713304,40.68738900825502,0.4278439075774134,170.95519669806833,341.3515127578252,1089.4109630547207,,1.8216742942100557,0.05873506367675541,155.0,53.0,12.0,25.0
Muzaffarpur,Bihar,7.656334269582887,4306.816431816596,13.318583637151951,49.66205573467181,0.5277746527899905,147.50764930331445,188.49398185130664,979.2383359854764,6.915140469846176,1.923347112135465,0.02327901577411227,150.0,70.0,23.0,34.0
Purnia,Bihar,7.888835531389165,451.57747572760735,8.509097716619726,56.60213197895385,0.5380154870200518,100.53501936045738,345.9445732643249,1183.7560609793104,5.968977621276351,0.6490047215309106,0.01927776444488747,133.0,38.0,16.0,21.0
Darbhanga,Bihar,7.132541331620855,451.7149385548934,,58.560361078843506,0.6822624704129329,128.74983456822696,235.5690326413131,1040.0584433989413,6.438611644568675,1.9151092117974298,0.07840574684041142,191.0,63.0,17.0,35.0
Arrah,Bihar,7.528119531243572,5034.948640683485,11.084945232329167,48.82575328314742,0.770024524142816,161.56133102338225,338.0029683119764,722.5877859382344,6.301489215654965,1.0875624890798827,0.06802501130128197,166.0,56.0,12.0,23.0
Begusarai,Bihar,7.011208747338219,740.6761828969269,7.676253781776251,42.31420943609185,1.0756213095982432,94.9512190779115,303.9937129748328,988.7389014735498,5.608341409634766,0.5713389248541783,0.03863694832976423,136.0,46.0,10.0,21.0
Katihar,Bihar,7.578491168650581,3791.1473262042814,13.889745851892696,49.65581609287789,0.7941360467826282,168.43344550756453,,828.6630657419436,6.003046464199021,2.1925843171111743,0.015682086674096388,177.0,73.0,14.0,25.0
